model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,145.0,104.0,91.0,46.0,36.0,450.0,900.0,1300.0,2050.0,1180.0,303.0,449.0,370.0,1300000.0
7 CCM Champ,Piston,85.0,89.0,83.0,44.0,15.0,600.0,720.0,800.0,1350.0,820.0,247.0,433.0,190.0,1230000.0
100 Darter (S.L. Industries),Piston,90.0,90.0,78.0,37.0,19.0,650.0,475.0,850.0,1300.0,810.0,257.0,420.0,210.0,1600000.0
7 AC Champ,Piston,85.0,88.0,78.0,37.0,19.0,620.0,500.0,850.0,1300.0,800.0,257.0,420.0,210.0,1300000.0
100 Darter (S.L. Industries),Piston,65.0,83.0,74.0,33.0,14.0,370.0,632.0,885.0,1220.0,740.0,257.0,420.0,175.0,1250000.0
PA-60-700P Aerostar (preliminary),Piston,65.0,78.0,72.0,33.0,15.0,360.0,583.0,880.0,1250.0,786.0,244.0,433.0,180.0,1100000.0
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,350.0,264.0,230.0,80.0,165.0,1820.0,3080.0,2100.0,6315.0,4275.0,418.0,440.0,868.0,2500000.0
100 Darter (S.L. Industries),Piston,290.0,262.0,247.0,77.0,165.0,1755.0,2250.0,2076.0,6000.0,4125.0,417.0,439.0,1020.0,2800000.0
"PA-601, 601A, turbochg Aerostar",Piston,290.0,257.0,235.0,77.0,165.0,1460.0,2490.0,2030.0,6000.0,4056.0,418.0,440.0,1101.0,2500000.0
100 Darter (S.L. Industries),Piston,290.0,257.0,237.0,77.0,165.0,1460.0,2490.0,2030.0,6000.0,3958.0,418.0,440.0,1174.0,3000000.0
G164B-600 AG-CAT (design category) sprayer,Piston,290.0,271.0,236.0,69.0,174.0,1700.0,2200.0,1625.0,5700.0,3750.0,418.0,410.0,1174.0,3010000.0
100 Darter (S.L. Industries),Piston,290.0,220.0,212.0,74.0,165.0,1800.0,1950.0,1840.0,5500.0,3737.0,418.0,410.0,1200.0,2120000.0
G164A-300 AG CAT,Piston,600.0,177.0,100.0,52.0,64.0,1360.0,1050.0,1150.0,5200.0,3650.0,306.0,509.0,200.0,
100 Darter (S.L. Industries),Piston,600.0,128.0,96.0,59.0,46.0,1600.0,860.0,770.0,4500.0,3160.0,292.0,431.0,148.0,1450000.0
G164A-245 AG CAT,Piston,525.0,128.0,91.0,52.0,46.0,1350.0,1706.0,540.0,567.0,4500.0,337.0,507.0,155.0,
A-2,Piston,450.0,128.0,91.0,52.0,46.0,1060.0,1090.0,1150.0,4500.0,3100.0,307.0,507.0,190.0,1450000.0
100 Darter (S.L. Industries),Piston,450.0,128.0,91.0,58.0,46.0,990.0,1145.0,750.0,4500.0,2870.0,292.0,431.0,190.0,1400000.0
415-G,Piston,300.0,128.0,74.0,54.0,46.0,700.0,1200.0,1000.0,3750.0,2410.0,292.0,428.0,226.0,1150000.0
CH-601-XL/i/650-LS/i,Piston,275.0,114.0,74.0,54.0,33.0,600.0,1275.0,1000.0,3750.0,2400.0,292.0,428.0,117.0,1025000.0
8KCAB-150 F/P prop(w/optional speed kit),Piston,245.0,114.0,70.0,54.0,33.0,496.0,1300.0,1000.0,3750.0,2300.0,292.0,428.0,174.0,850000.0
7KCAB,Piston,220.0,114.0,70.0,48.0,33.0,435.0,1360.0,1000.0,3600.0,2200.0,292.0,428.0,190.0,700000.0
7GCAA,Piston,90.0,112.0,108.0,37.0,24.0,640.0,1100.0,1200.0,1450.0,930.0,242.0,360.0,410.0,1730000.0
100 Darter (S.L. Industries),Piston,90.0,113.0,104.0,50.0,24.0,600.0,1800.0,1600.0,1400.0,900.0,241.0,360.0,400.0,1600000.0
7GCBC with EDO floats,Piston,85.0,99.0,96.0,50.0,24.0,550.0,2100.0,1850.0,1400.0,833.0,241.0,360.0,360.0,1350000.0
7EC,Piston,100.0,120.0,113.0,38.0,30.0,1000.0,1706.0,1525.0,1320.0,770.0,240.0,324.0,715.0,1200000.0
Starship 2000 (2000A=increased spds & weights),Piston,150.0,147.0,137.0,52.0,40.0,1000.0,1706.0,1525.0,1800.0,1260.0,275.0,384.0,404.0,1600000.0
King Air 260,Piston,150.0,116.0,109.0,43.0,39.0,1120.0,535.0,755.0,1650.0,1140.0,271.0,413.0,411.0,1700000.0
B200 Super King Air,Piston,150.0,109.0,103.0,37.0,37.0,1140.0,617.0,718.0,1650.0,1050.0,273.0,413.0,411.0,1810000.0
100 Darter (S.L. Industries),Piston,150.0,113.0,109.0,43.0,39.0,1120.0,535.0,755.0,1650.0,1140.0,272.0,401.0,411.0,1700000.0
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,150.0,113.0,111.0,39.0,35.0,1145.0,457.0,690.0,1650.0,1150.0,272.0,411.0,480.0,1700000.0
100 Darter (S.L. Industries),Piston,150.0,97.0,90.0,46.0,39.0,800.0,1706.0,1525.0,1800.0,1290.0,271.0,414.0,248.0,1600000.0
100 King Air,Piston,115.0,109.0,107.0,44.0,35.0,725.0,716.0,775.0,1650.0,1067.0,272.0,401.0,301.0,1200000.0
100 Darter (S.L. Industries),Piston,90.0,117.0,97.0,38.0,26.0,700.0,1240.0,700.0,1450.0,820.0,258.0,421.0,350.0,1550000.0
F90 King Air,Piston,60.0,85.0,75.0,38.0,13.0,400.0,850.0,1525.0,1220.0,750.0,263.0,421.0,261.0,850000.0
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,160.0,168.0,160.0,63.0,80.0,1160.0,1805.0,1330.0,3800.0,2588.0,355.0,441.0,680.0,1740000.0
100 Darter (S.L. Industries),Piston,180.0,148.0,139.0,53.0,51.0,850.0,1550.0,1120.0,2400.0,1360.0,264.0,378.0,530.0,1380000.0
100 Darter (S.L. Industries),Piston,150.0,136.0,127.0,52.0,37.0,660.0,1600.0,1100.0,2200.0,1323.0,264.0,378.0,428.0,1265000.0
A 90 King Air,Piston,150.0,130.0,122.0,50.0,38.0,660.0,1600.0,1100.0,2200.0,1271.0,264.0,377.0,503.0,1265000.0
100 Darter (S.L. Industries),Piston,108.0,120.0,108.0,52.0,24.0,705.0,1590.0,1100.0,1560.0,975.0,230.0,293.0,348.0,1275000.0
88 Queen Air pressurized,Piston,108.0,120.0,109.0,51.0,24.0,765.0,1400.0,1065.0,1500.0,1007.0,231.0,293.0,350.0,1375000.0
B 80 Queen Air - specs thru 1972,Piston,100.0,90.0,84.0,33.0,20.0,700.0,1706.0,1525.0,1320.0,845.0,269.0,426.0,275.0,1500000.0
80 Queen Air,Piston,180.0,126.0,113.0,36.0,52.0,1500.0,1706.0,1525.0,1800.0,1190.0,271.0,426.0,696.0,2000000.0
A 65 Queen Air,Piston,600.0,122.0,96.0,61.0,54.0,1000.0,1200.0,800.0,6000.0,3400.0,352.0,532.0,275.0,1500000.0
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,600.0,122.0,108.0,57.0,100.0,900.0,1706.0,1525.0,6000.0,3700.0,352.0,532.0,275.0,1500000.0
60 Duke Pressurized,Propjet,750.0,138.0,130.0,57.0,190.0,1740.0,1706.0,1525.0,6000.0,3600.0,396.0,533.0,545.0,2500000.0
100 Darter (S.L. Industries),Piston,80.0,157.0,138.0,46.0,17.0,1000.0,820.0,721.0,1320.0,622.0,250.0,425.0,350.0,
100 Darter (S.L. Industries),Propjet,1050.0,158.0,126.0,52.0,216.0,650.0,1706.0,1525.0,12500.0,5829.0,402.0,438.0,600.0,800000.0
C 50 Twin Bonanza,Propjet,1200.0,335.0,328.0,56.0,560.0,3225.0,3876.0,2630.0,14400.0,9887.0,553.0,653.0,1722.0,3480000.0
50 Twin Bonanza,Propjet,1050.0,314.0,303.0,56.0,539.0,2979.0,1706.0,2508.0,15000.0,9051.0,560.0,695.0,1966.0,3500000.0
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,850.0,310.0,259.0,80.0,3645.0,2437.0,1706.0,1525.0,12590.0,8830.0,526.0,695.0,1720.0,3500000.0
58 TC Baron (325) turbochg-non-pressurized,Propjet,850.0,294.0,279.0,75.0,544.0,2450.0,3345.0,2845.0,12500.0,7538.0,525.0,654.0,1972.0,3500000.0
100 Darter (S.L. Industries),Propjet,850.0,290.0,272.0,75.0,544.0,2450.0,3345.0,2845.0,12500.0,7538.0,525.0,654.0,1870.0,3288000.0
58 Baron (300 hp),Propjet,715.0,265.0,258.0,83.0,470.0,1963.0,2951.0,2679.0,11800.0,7082.0,479.0,551.0,1080.0,2485000.0
100 Darter (S.L. Industries),Propjet,680.0,248.0,235.0,75.0,470.0,1963.0,3245.0,2944.0,11500.0,6797.0,479.0,551.0,1000.0,2485000.0
A56TC Turbo Baron,Propjet,680.0,248.0,239.0,73.0,374.0,2200.0,1729.0,2138.0,10600.0,6440.0,477.0,550.0,1005.0,2590000.0
100 Darter (S.L. Industries),Propjet,750.0,279.0,265.0,79.0,470.0,2455.0,2808.0,2275.0,10950.0,6647.0,478.0,551.0,1235.0,3045000.0
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,750.0,267.0,261.0,77.0,470.0,2380.0,2856.0,2275.0,10950.0,6549.0,478.0,551.0,1235.0,2980200.0
100 Darter (S.L. Industries),Propjet,550.0,250.0,245.0,77.0,474.0,1870.0,2024.0,2110.0,10100.0,5996.0,426.0,603.0,1290.0,2762000.0
B 55 Baron (1978 & up),Propjet,550.0,247.0,240.0,75.0,384.0,2137.0,2261.0,1672.0,10100.0,5765.0,426.0,603.0,1120.0,3000000.0
100 Darter (S.L. Industries),Propjet,550.0,223.0,217.0,76.0,384.0,1955.0,2261.0,1672.0,9650.0,5765.0,426.0,603.0,1120.0,2810000.0
100 Darter (S.L. Industries),Propjet,550.0,223.0,219.0,74.0,384.0,2000.0,2180.0,2010.0,9650.0,5685.0,438.0,603.0,1185.0,2720000.0
E 95 Travel Air (fuel inj.),Propjet,550.0,223.0,216.0,77.0,384.0,1900.0,2150.0,1960.0,9300.0,5680.0,426.0,541.0,1160.0,3020000.0
100 Darter (S.L. Industries),Propjet,500.0,243.0,235.0,75.0,384.0,2000.0,1755.0,1870.0,9000.0,5680.0,426.0,541.0,1270.0,2840000.0
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,380.0,214.0,192.0,71.0,264.0,1275.0,1800.0,2311.0,8800.0,6035.0,426.0,603.0,902.0,2680000.0
100 Darter (S.L. Industries),Piston,380.0,216.0,196.0,70.0,200.0,1275.0,2556.0,2572.0,8800.0,5277.0,426.0,603.0,656.0,2680000.0
B 36 TC Bonanza,Piston,380.0,216.0,195.0,71.0,214.0,1275.0,1800.0,2311.0,8800.0,5120.0,426.0,603.0,716.0,2680000.0
100 Darter (S.L. Industries),Piston,380.0,219.0,200.0,70.0,214.0,1585.0,1800.0,2143.0,8500.0,4900.0,426.0,603.0,716.0,2850000.0
A 36 Bonanza (300 hp),Piston,380.0,208.0,191.0,67.0,230.0,1300.0,1450.0,2070.0,8000.0,4800.0,422.0,603.0,746.0,2800000.0
100 Darter (S.L. Industries),Piston,340.0,208.0,186.0,70.0,214.0,1375.0,1675.0,2107.0,8200.0,4995.0,426.0,604.0,755.0,3000000.0
36 Bonanza,Piston,340.0,208.0,186.0,70.0,214.0,1300.0,1560.0,1750.0,7700.0,4980.0,426.0,550.0,755.0,3130000.0
100 Darter (S.L. Industries),Piston,340.0,200.0,186.0,70.0,180.0,1300.0,1700.0,1980.0,7700.0,4640.0,399.0,550.0,630.0,2700000.0
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,380.0,246.0,233.0,73.0,142.0,1601.0,2626.0,3065.0,6775.0,4425.0,406.0,471.0,1010.0,3000000.0
100 Darter (S.L. Industries),Piston,380.0,249.0,240.0,76.0,142.0,1601.0,2626.0,3065.0,6775.0,4175.0,406.0,471.0,824.0,3080000.0
V 35 TC Turbo Bonanza,Piston,380.0,249.0,236.0,76.0,142.0,1615.0,1660.0,2340.0,6725.0,4100.0,406.0,471.0,824.0,3130000.0
100 Darter (S.L. Industries),Piston,450.0,204.0,191.0,76.0,198.0,1400.0,2072.0,1850.0,9900.0,5845.0,422.0,596.0,622.0,2030000.0
S 35 Bonanza,Piston,450.0,200.0,186.0,73.0,275.0,1410.0,1980.0,1850.0,9700.0,5910.0,421.0,594.0,880.0,2140000.0
100 Darter (S.L. Industries),Piston,450.0,203.0,187.0,71.0,206.0,1250.0,2079.0,1569.0,9300.0,6150.0,397.0,571.0,638.0,2300000.0
"K,M 35 Bonanza",Piston,450.0,200.0,183.0,67.0,206.0,1190.0,1760.0,1460.0,8750.0,5770.0,397.0,571.0,632.0,2050000.0
100 Darter (S.L. Industries),Piston,340.0,204.0,180.0,72.0,180.0,1270.0,1250.0,1840.0,7300.0,4480.0,377.0,549.0,787.0,2950000.0
H 35 Bonanza,Piston,340.0,209.0,184.0,72.0,180.0,1320.0,1250.0,1840.0,7000.0,4460.0,377.0,549.0,813.0,2950000.0
100 Darter (S.L. Industries),Piston,295.0,186.0,178.0,62.0,134.0,1450.0,1260.0,1452.0,6300.0,4100.0,377.0,549.0,670.0,2000000.0
"C, D 35 Bonanza",Piston,275.0,178.0,161.0,60.0,134.0,1450.0,1260.0,1375.0,6000.0,3956.0,377.0,542.0,726.0,2000000.0
100 Darter (S.L. Industries),Piston,260.0,177.0,159.0,60.0,134.0,1450.0,1344.0,1215.0,6000.0,3940.0,377.0,542.0,733.0,2000000.0
35 Bonanza,Piston,260.0,177.0,158.0,56.0,134.0,1450.0,1350.0,1215.0,5500.0,3800.0,377.0,542.0,722.0,1900000.0
100 Darter (S.L. Industries),Piston,325.0,261.0,232.0,78.0,166.0,1475.0,2643.0,2427.0,6200.0,4026.0,359.0,454.0,1013.0,2500000.0
F & E 33-C Bonanza (conventional tail),Piston,310.0,256.0,214.0,79.0,166.0,1529.0,2376.0,2498.0,6100.0,3985.0,358.0,454.0,1130.0,2500000.0
100 Darter (S.L. Industries),Piston,310.0,231.0,207.0,79.0,166.0,1424.0,2761.0,2498.0,6100.0,3985.0,358.0,454.0,1104.0,2500000.0
E 33 A Bonanza (conventional tail),Piston,325.0,261.0,232.0,78.0,166.0,1475.0,2643.0,2427.0,6200.0,3788.0,359.0,454.0,1013.0,2500000.0
100 Darter (S.L. Industries),Piston,310.0,250.0,214.0,79.0,166.0,1461.0,2376.0,2498.0,6100.0,3780.0,358.0,454.0,1130.0,2500000.0
